name,metric,question_id,value
0.2,faithfulness,0,0.25
0.2,faithfulness,1,1.0
0.2,faithfulness,2,0.75
0.2,faithfulness,3,0.5
0.2,faithfulness,4,1.0
0.2,faithfulness,5,0.3333333333333333
0.2,faithfulness,6,0.5
0.2,faithfulness,7,0.0
0.2,faithfulness,8,0.0
0.2,faithfulness,9,0.75
0.2,faithfulness,10,0.5
0.2,faithfulness,11,0.5
0.2,faithfulness,12,0.0
0.2,faithfulness,13,0.0
0.2,faithfulness,14,0.0
0.2,faithfulness,15,0.25
0.2,faithfulness,16,0.0
0.2,faithfulness,17,0.25
0.2,faithfulness,18,0.5
0.2,faithfulness,19,0.4
0.2,faithfulness,20,0.3333333333333333
0.2,faithfulness,21,0.25
0.2,faithfulness,22,0.6666666666666666
0.2,faithfulness,23,0.0
0.2,faithfulness,24,1.0
0.2,faithfulness,25,0.5
0.2,faithfulness,26,0.6
0.2,faithfulness,27,0.2
0.2,faithfulness,28,0.5
0.2,faithfulness,29,0.5
0.2,answer_relevancy,0,0.0
0.2,answer_relevancy,1,0.7764458959123729
0.2,answer_relevancy,2,0.9232876079989567
0.2,answer_relevancy,3,0.0
0.2,answer_relevancy,4,0.9721751283945776
0.2,answer_relevancy,5,0.884863333199802
0.2,answer_relevancy,6,0.9040921875053564
0.2,answer_relevancy,7,-0.0
0.2,answer_relevancy,8,0.9633689272612145
0.2,answer_relevancy,9,0.27469781710944263
0.2,answer_relevancy,10,0.0
0.2,answer_relevancy,11,0.0
0.2,answer_relevancy,12,0.0
0.2,answer_relevancy,13,0.0
0.2,answer_relevancy,14,0.0
0.2,answer_relevancy,15,0.0
0.2,answer_relevancy,16,0.0
0.2,answer_relevancy,17,0.0
0.2,answer_relevancy,18,0.0
0.2,answer_relevancy,19,0.9744674097041283
0.2,answer_relevancy,20,0.8390326110918767
0.2,answer_relevancy,21,0.0
0.2,answer_relevancy,22,-0.0
0.2,answer_relevancy,23,0.0
0.2,answer_relevancy,24,0.530595200068236
0.2,answer_relevancy,25,0.9197727760244896
0.2,answer_relevancy,26,0.0
0.2,answer_relevancy,27,0.0
0.2,answer_relevancy,28,0.0
0.2,answer_relevancy,29,0.0
0.2,context_recall,0,0.0
0.2,context_recall,1,0.5
0.2,context_recall,2,0.5
0.2,context_recall,3,1.0
0.2,context_recall,4,1.0
0.2,context_recall,5,0.5
0.2,context_recall,6,0.5
0.2,context_recall,7,1.0
0.2,context_recall,8,1.0
0.2,context_recall,9,1.0
0.2,context_recall,10,0.0
0.2,context_recall,11,1.0
0.2,context_recall,12,1.0
0.2,context_recall,13,1.0
0.2,context_recall,14,1.0
0.2,context_recall,15,1.0
0.2,context_recall,16,0.0
0.2,context_recall,17,0.5
0.2,context_recall,18,1.0
0.2,context_recall,19,0.0
0.2,context_recall,20,1.0
0.2,context_recall,21,1.0
0.2,context_recall,22,1.0
0.2,context_recall,23,0.0
0.2,context_recall,25,1.0
0.2,context_recall,26,1.0
0.2,context_recall,27,0.0
0.2,context_recall,28,1.0
0.2,context_recall,29,1.0
0.2,context_precision,0,0.49999999995
0.2,context_precision,1,0.99999999998
0.2,context_precision,2,0.19999999998
0.2,context_precision,3,0.99999999998
0.2,context_precision,4,0.99999999998
0.2,context_precision,5,0.99999999998
0.2,context_precision,6,0.99999999998
0.2,context_precision,7,0.99999999998
0.2,context_precision,8,0.99999999998
0.2,context_precision,9,0.99999999998
0.2,context_precision,10,0.99999999998
0.2,context_precision,11,0.7555555555303703
0.2,context_precision,12,0.99999999998
0.2,context_precision,13,0.99999999998
0.2,context_precision,14,0.6791666666496875
0.2,context_precision,15,0.99999999998
0.2,context_precision,16,0.99999999998
0.2,context_precision,17,0.99999999998
0.2,context_precision,18,0.99999999998
0.2,context_precision,19,0.8666666666377778
0.2,context_precision,20,0.699999999965
0.2,context_precision,21,0.99999999998
0.2,context_precision,22,0.999999999975
0.2,context_precision,23,0.9999999999666667
0.2,context_precision,24,0.99999999998
0.2,context_precision,25,0.99999999998
0.2,context_precision,26,0.99999999998
0.2,context_precision,27,0.99999999998
0.2,context_precision,28,0.19999999998
0.2,context_precision,29,0.7555555555303703
